"lat","lng","name","color","note"
47.37662,8.548701,"Zürich, ETH/Universitätsspital",#ff0000,"2833 Sekunden Verspätung, Haltestelle: Zürich, ETH/Universitätsspital"
47.380116,8.548072,"Zürich, Haldenbach",#ff0000,"2830 Sekunden Verspätung, Haltestelle: Zürich, Haldenbach"
47.385699,8.54844,"Zürich, Seilbahn Rigiblick",#ff0000,"2830 Sekunden Verspätung, Haltestelle: Zürich, Seilbahn Rigiblick"
47.388804,8.546386,"Zürich, Kinkelstrasse",#ff0000,"2827 Sekunden Verspätung, Haltestelle: Zürich, Kinkelstrasse"
47.383003,8.548172,"Zürich, Winkelriedstrasse",#ff0000,"2827 Sekunden Verspätung, Haltestelle: Zürich, Winkelriedstrasse"
47.390512,8.545494,"Zürich, Letzistrasse",#ff0000,"2826 Sekunden Verspätung, Haltestelle: Zürich, Letzistrasse"
47.396093,8.545106,"Zürich, Universität Irchel",#ff0000,"2803 Sekunden Verspätung, Haltestelle: Zürich, Universität Irchel"
47.39345,8.544946,"Zürich, Langmauerstrasse",#ff0000,"2800 Sekunden Verspätung, Haltestelle: Zürich, Langmauerstrasse"
47.362443,8.527025,"Zürich, Waffenplatzstrasse",#ff0000,"971 Sekunden Verspätung, Haltestelle: Zürich, Waffenplatzstrasse"
47.364086,8.531453,"Zürich, Bahnhof Enge",#ff0000,"958 Sekunden Verspätung, Haltestelle: Zürich, Bahnhof Enge"
47.364275,8.529584,"Zürich, Bahnhof Enge/Bederstr.",#ff0000,"955 Sekunden Verspätung, Haltestelle: Zürich, Bahnhof Enge/Bederstr."
47.359892,8.522817,"Zürich, Sihlcity Nord",#ff0000,"715 Sekunden Verspätung, Haltestelle: Zürich, Sihlcity Nord"
47.360987,8.524931,"Zürich, Waffenplatzstrasse",#ff0000,"507 Sekunden Verspätung, Haltestelle: Zürich, Waffenplatzstrasse"
47.359696,8.522539,"Zürich, Sihlcity Nord",#ff0000,"502 Sekunden Verspätung, Haltestelle: Zürich, Sihlcity Nord"
47.359301,8.516768,"Zürich, Laubegg",#ff0000,"499 Sekunden Verspätung, Haltestelle: Zürich, Laubegg"
47.357963,8.520355,"Zürich, Saalsporthalle",#ff0000,"498 Sekunden Verspätung, Haltestelle: Zürich, Saalsporthalle"
47.358784,8.517221,"Zürich, Laubegg",#ff0000,"492 Sekunden Verspätung, Haltestelle: Zürich, Laubegg"
47.376604,8.559692,"Zürich, Kirche Fluntern",#ff0000,"399 Sekunden Verspätung, Haltestelle: Zürich, Kirche Fluntern"
47.359301,8.516768,"Zürich, Laubegg",#ff0000,"375 Sekunden Verspätung, Haltestelle: Zürich, Laubegg"
47.358784,8.517221,"Zürich, Laubegg",#ff0000,"375 Sekunden Verspätung, Haltestelle: Zürich, Laubegg"
