"lat","lng","name","color","note"
47.396093,8.545106,"Zürich, Universität Irchel",#ff0000,"-14 Sekunden Verspätung, Haltestelle: Zürich, Universität Irchel"
47.39345,8.544946,"Zürich, Langmauerstrasse",#ff0000,"-22 Sekunden Verspätung, Haltestelle: Zürich, Langmauerstrasse"
47.390512,8.545494,"Zürich, Letzistrasse",#ff0000,"-21 Sekunden Verspätung, Haltestelle: Zürich, Letzistrasse"
47.388804,8.546386,"Zürich, Kinkelstrasse",#ff0000,"-29 Sekunden Verspätung, Haltestelle: Zürich, Kinkelstrasse"
47.385699,8.54844,"Zürich, Seilbahn Rigiblick",#ff0000,"-27 Sekunden Verspätung, Haltestelle: Zürich, Seilbahn Rigiblick"
47.383003,8.548172,"Zürich, Winkelriedstrasse",#ff0000,"-38 Sekunden Verspätung, Haltestelle: Zürich, Winkelriedstrasse"
47.380116,8.548072,"Zürich, Haldenbach",#ff0000,"-49 Sekunden Verspätung, Haltestelle: Zürich, Haldenbach"
47.37662,8.548701,"Zürich, ETH/Universitätsspital",#ff0000,"-36 Sekunden Verspätung, Haltestelle: Zürich, ETH/Universitätsspital"
47.375105,8.552775,"Zürich, Platte",#ff0000,"-45 Sekunden Verspätung, Haltestelle: Zürich, Platte"
47.376935,8.554283,"Zürich, Voltastrasse",#ff0000,"-52 Sekunden Verspätung, Haltestelle: Zürich, Voltastrasse"
47.376604,8.559692,"Zürich, Kirche Fluntern",#ff0000,"-54 Sekunden Verspätung, Haltestelle: Zürich, Kirche Fluntern"
